id,player_game_id,bird_name,habitat
498,55,Black Woodpecker,Forest
499,55,Black-Billed Magpie,Grasslands
500,55,House Wren,Grasslands
501,55,Common Cuckoo,Grasslands
502,55,Eurasian Collared-Dove,Grasslands
503,55,Sprague's Pipit,Grasslands
504,55,Bushtit,Wetlands
505,55,White-Faced Ibis,Wetlands
506,56,European Robin,Forest
507,56,Hawfinch,Forest
508,56,Cerulean Warbler,Forest
509,56,Dickcissel,Grasslands
510,56,House Finch,Grasslands
511,56,Greater Prairie-Chicken,Grasslands
512,56,Cassin's Sparrow,Grasslands
513,56,Black-Necked Stilt,Wetlands
514,56,Atlantic Puffin,Wetlands
515,57,White-Breasted Nuthatch,Forest
516,57,Red-Breasted Nuthatch,Forest
517,57,Baltimore Oriole,Forest
518,57,White-Crowned Sparrow,Forest
519,57,Franklin's Gull,Grasslands
520,57,Grasshopper Sparrow,Grasslands
521,57,Common Loon,Wetlands
522,57,California Condor,Wetlands
523,57,Great Blue Heron,Wetlands
524,57,Black Skimmer,Wetlands
525,58,Barred Owl,Forest
526,58,Bell's Vireo,Forest
527,58,Yellow-Rumped Warbler,Forest
528,58,Northern Harrier,Grasslands
529,58,Swainson's Hawk,Grasslands
530,58,Forster's Tern,Wetlands
531,58,Yellow-Headed Blackbird,Wetlands
532,58,Common Grackle,Wetlands
533,59,Carolina Wren,Forest
534,59,Ruby-Crowned Kinglet,Forest
535,59,California Condor,Forest
536,59,Bell's Vireo,Forest
537,59,Swainson's Hawk,Grasslands
538,59,American Robin,Grasslands
539,59,Bobolink,Grasslands
540,59,Osprey,Wetlands
541,59,Roseate Spoonbill,Wetlands
542,60,White-Breasted Nuthatch,Forest
543,60,Red-Winged Blackbird,Grasslands
544,60,White-Throated Swift,Grasslands
545,60,Franklin's Gull,Grasslands
546,60,Scaled Quail,Grasslands
547,60,House Finch,Wetlands
548,60,Red-Breasted Merganser,Wetlands
549,60,Pied-Billed Grebe,Wetlands
550,60,Barrow's Goldeneye,Wetlands
551,61,Barred Owl,Forest
552,61,American Robin,Grasslands
553,61,Killdeer,Grasslands
554,61,Greater Roadrunner,Grasslands
