team_game_id,game_id,team,toi,cf,ca,gf,ga,is_home,season
267,134,New York Islanders,61.41666667,70,73,3,4,1,2324
268,134,Detroit Red Wings,61.41666667,73,70,4,3,0,2324
269,135,Winnipeg Jets,64.56666667,69,51,2,3,1,2324
270,135,New York Rangers,64.56666667,51,69,3,2,0,2324
271,136,Dallas Stars,60,75,58,5,3,1,2324
272,136,Columbus Blue Jackets,60,58,75,3,5,0,2324
273,137,Arizona Coyotes,60,63,66,8,1,1,2324
274,137,Chicago Blackhawks,60,66,63,1,8,0,2324
275,138,Vegas Golden Knights,65,48,74,2,2,1,2324
276,138,Montreal Canadiens,65,74,48,2,2,0,2324
277,139,Toronto Maple Leafs,60,49,62,1,4,1,2324
278,139,Los Angeles Kings,60,62,49,4,1,0,2324
279,140,Vancouver Canucks,60,45,64,5,2,1,2324
280,140,Nashville Predators,60,64,45,2,5,0,2324
281,141,Philadelphia Flyers,60,75,37,2,5,1,2324
282,141,Buffalo Sabres,60,37,75,5,2,0,2324
283,142,Calgary Flames,60,87,58,3,4,1,2324
284,142,Dallas Stars,60,58,87,4,3,0,2324
285,143,Colorado Avalanche,60,59,54,4,1,1,2324
286,143,St Louis Blues,60,54,59,1,4,0,2324
287,144,Anaheim Ducks,63.45,42,67,4,3,1,2324
288,144,Arizona Coyotes,63.45,67,42,3,4,0,2324
289,145,Boston Bruins,65,76,69,2,2,1,2324
290,145,Toronto Maple Leafs,65,69,76,2,2,0,2324
291,146,Columbus Blue Jackets,60,63,72,4,2,1,2324
292,146,Tampa Bay Lightning,60,72,63,2,4,0,2324
293,147,Detroit Red Wings,60,46,66,0,2,1,2324
294,147,Florida Panthers,60,66,46,2,0,0,2324
295,148,New York Rangers,60,52,66,2,1,1,2324
296,148,Carolina Hurricanes,60,66,52,1,2,0,2324
297,149,Ottawa Senators,60,51,79,2,3,1,2324
298,149,Los Angeles Kings,60,79,51,3,2,0,2324
299,150,Washington Capitals,60,84,42,0,3,1,2324
300,150,New York Islanders,60,42,84,3,0,0,2324
301,151,Minnesota Wild,60,53,65,3,5,1,2324
302,151,New Jersey Devils,60,65,53,5,3,0,2324
303,152,Edmonton Oilers,60,98,42,3,4,1,2324
304,152,Dallas Stars,60,42,98,4,3,0,2324
305,153,Arizona Coyotes,60,73,56,3,2,1,2324
306,153,Montreal Canadiens,60,56,73,2,3,0,2324
307,154,Seattle Kraken,60,56,65,4,2,1,2324
308,154,Nashville Predators,60,65,56,2,4,0,2324
309,155,Vegas Golden Knights,60,41,71,5,2,1,2324
310,155,Winnipeg Jets,60,71,41,2,5,0,2324
311,156,San Jose Sharks,60,59,67,1,10,1,2324
312,156,Vancouver Canucks,60,67,59,10,1,0,2324
313,157,Buffalo Sabres,60,52,53,1,5,1,2324
314,157,Philadelphia Flyers,60,53,52,5,1,0,2324
315,158,St Louis Blues,60,64,61,4,1,1,2324
316,158,New Jersey Devils,60,61,64,1,4,0,2324
317,159,Edmonton Oilers,60,64,51,2,5,1,2324
318,159,Nashville Predators,60,51,64,5,2,0,2324
319,160,Arizona Coyotes,60,45,65,3,5,1,2324
320,160,Winnipeg Jets,60,65,45,5,3,0,2324
321,161,Detroit Red Wings,60,73,54,5,4,1,2324
322,161,Boston Bruins,60,54,73,4,5,0,2324
323,162,Ottawa Senators,60,58,66,4,6,1,2324
324,162,Tampa Bay Lightning,60,66,58,6,4,0,2324
325,163,Philadelphia Flyers,60,55,54,0,5,1,2324
326,163,Los Angeles Kings,60,54,55,5,0,0,2324
327,164,St Louis Blues,60,62,58,6,3,1,2324
328,164,Montreal Canadiens,60,58,62,3,6,0,2324
329,165,Toronto Maple Leafs,60,61,64,4,6,1,2324
330,165,Buffalo Sabres,60,64,61,6,4,0,2324
331,166,Washington Capitals,60,54,72,2,1,1,2324
332,166,Columbus Blue Jackets,60,72,54,1,2,0,2324
333,167,New York Islanders,61.23333333,38,101,3,4,1,2324
334,167,Carolina Hurricanes,61.23333333,101,38,4,3,0,2324
335,168,Chicago Blackhawks,60,41,83,5,2,1,2324
336,168,Florida Panthers,60,83,41,2,5,0,2324
337,169,Minnesota Wild,65,98,41,4,4,1,2324
338,169,New York Rangers,65,41,98,4,4,0,2324
339,170,Seattle Kraken,60,48,50,3,6,1,2324
340,170,Calgary Flames,60,50,48,6,3,0,2324
341,171,San Jose Sharks,60,54,64,2,10,1,2324
